foundry_id,foundry_name,foundry_url,release_count
formula-type,Formula Type,https://formulatype.com,1
foundry5,Foundry5,https://foundryfivetype.com/,1
grilli-type,Grilli Type,https://www.grillitype.com/,1
groteskly-yours-studio,Groteskly Yours Studio,https://groteskly.xyz/,1
gruppo-due,Gruppo Due,https://gruppo-due.com/,1
hoodzpah,Hoodzpah,https://hoodzpahdesign.com/,1
indian-type-foundry,Indian Type Foundry,https://www.indiantypefoundry.com/,1
inhouse-type,Inhouse Type,https://www.inhousetype.com/,1
isabel-urbina-pena,Isabel Urbina Peña,https://www.isabelurbinapena.com/type,1
jose-sole,José Solé,https://jmsole.cl/,1
kel-troughton,Kel Troughton,,1
keya-vadgama,Keya Vadgama,,1
kometa,Kometa,https://www.kometa.xyz/,1
kontour,Kontour,https://www.kontour.com/,1
kostas-bartsokas,Kostas Bartsokas,https://www.kostasbartsokas.com/,1
lost-type-co-op,Lost Type Co-op,https://www.losttype.com/,1
m59,M59,https://emfiftynine.com/,1
mark-van-leeuwen,Mark van Leeuwen,https://markvanleeuwen.co,1
moretype,Moretype,http://moretype.co.uk,1
morula-type,Morula Type,,1
mztype,MzType,https://mztype.ch/,1
noheul-lee,Noheul Lee,,1
nondescript,Nondescript,https://nondescript.co/,1
nostalgic-dolphin-studio,Nostalgic Dolphin Studio,https://nostalgicdolphin.com/fonts/,1
office-of-personal-responsibility,Office of Personal Responsibility,https://opr.group,1
olga-umpeleva,Olga Umpeleva,,1
ooper-case,Ooper Case,,1
peregrin-studio,Peregrin Studio,https://peregrinstudio.com,1
peter-roeleveld,Peter Roeleveld,https://peterroeleveld.com/,1
queertype,QueerType,https://queertype.co/,1
reber-r41,Reber R41,https://www.r41.it/,1
riptype,Riptype,https://www.riptype.xyz/,1
ryan-bugden,Ryan Bugden,https://ryanbugden.com/,1
sabina-kipara,Sabina Kipară,https://sabinakipara.com/,1
scifipoetry,Scifipoetry,https://scifipoetry.de/,1
serebryakov-type-foundry,Serebryakov Type Foundry,https://serebryakov.com/,1
sergej-lebedev,Sergej Lebedev,https://typedesigner.de/,1
shriftovik-type-foundry,Shriftovik Type Foundry,https://shriftovik.com/,1
soft-type,Soft Type,https://www.kyleletendre.com/,1
source-type,Source Type,https://www.sourcetype.com/,1
spizh,Spizh,https://www.futurefonts.com/spizh/,1
store-norske-skriftkompani,Store Norske Skriftkompani,https://skriftkompani.no/,1
studio-feixen-fonts,Studio Feixen Fonts,https://fonts.studiofeixen.ch/,1
studio-type,Studio Type,https://studiotype.be/,1
ts-fonts,TS Fonts,https://tsfonts.com/,1
tamara-pilz,Tamara Pilz,https://www.tamarapilz.com/,1
tulsey-type,Tulsey Type,https://www.tulseytype.com,1
type-du-nord,Type Du Nord,https://www.typedunord.com/,1
typerepublic,TypeRepublic,https://typerepublic.com/,1
u-s-graphics-company,U.S. Graphics Company,https://usgraphics.com/,1
virgile-flores,Virgile Flores,https://www.virgileflores.com/typefoundry,1
weekend-type,Weekend Type,https://weekendtype.xyz/,1
yep-type,Yep! Type,https://www.yeptype.com/,1
bbox-type,bBox Type,https://bboxtype.com/,1
udi-type-foundry,Ụdị Type Foundry,https://www.udifoundry.com/fonts/touki-grotesk,1
