favicon_source,favicon_status,favicon_url,foundry_id,foundry_name,foundry_url,release_count
icon,ok,https://www.atf.com.au/wp-content/uploads/2021/10/cropped-android-chrome-512x512-1-32x32.png,australian-type-foundry,Australian Type Foundry,http://www.atf.com.au/,14
icon,ok,https://carterandcone.com/img/cc-icon.svg,carter-cone,Carter & Cone,https://carterandcone.com/,14
icon,ok,https://charactertype.com/favicon-32x32.png?2,character-type,Character Type,https://charactertype.com/,14
,not_found,,melvastype,Melvastype,https://www.melvastype.fi/,14
,not_found,,union-type-design,Union Type Design,https://www.uniontypedesign.com/,14
fallback:/favicon.ico,ok,https://xyztype.com/favicon.ico,xyz-type,XYZ Type,https://xyztype.com/,14
icon,ok,https://ellenlufftype.com/favicon.png,ellen-luff-type-foundry,Ellen Luff Type Foundry,https://ellenlufftype.com/,13
,not_found,,frost,Frost,https://www.frostype.xyz/,13
,not_found,,labor-and-wait,Labor and Wait,https://www.laborandwait.xyz/,13
,not_found,,mckl,MCKL,https://mckltype.com,13
icon,ok,https://www.motyfo.com/wp-content/uploads/2021/06/cropped-cropped-ico-32x32.png,mostardesign-type-foundry,Mostardesign Type Foundry,https://motyfo.com,13
shortcut icon,ok,https://www.revolvertype.com/favicon.ico,revolver-type-foundry,Revolver Type Foundry,https://revolvertype.com,13
fallback:/favicon.ico,ok,https://www.schick-toikka.com/favicon.ico,schick-toikka,Schick Toikka,https://www.schick-toikka.com/,13
icon,ok,https://www.tunera.xyz/site/templates/styles/images/favicon/favicon-32x32.png,tunera,Tunera,https://www.tunera.xyz/,13
icon,ok,https://framerusercontent.com/images/1X6dFWtKStxgDndZVbhuAiHbWV4.png,typografische,Typografische,https://www.typografische.com,13
,not_found,,3type,3type,https://3type.cn,12
icon,ok,https://a2-type.co.uk/favicon-32x32.png,a2-type,A2-Type,https://a2-type.co.uk/,12
icon,ok,https://ivyfoundry.com/favicon.svg,ivy-foundry,Ivy Foundry,https://ivyfoundry.com/,12
fallback:/favicon.ico,ok,https://kilotype.de/favicon.ico,kilotype,Kilotype,https://kilotype.de,12
icon,ok,https://www.typetr.com/images/logos/typetr.ico,typetr,Typetr,https://www.typetr.com/index.html,12
,not_found,,warsaw-types,Warsaw Types,https://kroje.org/en/,12
icon,ok,https://atftype.com/favicon.ico,atf-collection,ATF Collection,http://atftype.com/,11
fallback:/favicon.ico,ok,https://altiplano.xyz/favicon.ico,altiplano,Altiplano,https://altiplano.xyz/,11
icon,ok,https://babelfont.com/wp-content/uploads/fbrfg/favicon-96x96.png,babelfont,Babelfont,https://babelfont.com,11
fallback:/favicon.ico,ok,https://binnenland.ch/favicon.ico,binnenland,Binnenland,https://binnenland.ch,11
icon,ok,https://www.caketype.com/favicon.ico,caketype,CakeType,https://www.caketype.com/,11
icon,ok,https://static.showit.co/200/ccoPS6hF-DWvdHyyeqh8xA/144397/jw_type_favicon.png,jen-wagner-co,Jen Wagner Co.,https://jenwagner.co/,11
,not_found,,jikji-soft,Jikji Soft,https://www.jikjisoft.com/font,11
,not_found,,manic-type,Manic Type,https://www.manictype.com/,11
fallback:/favicon.ico,ok,https://tightype.com/favicon.ico,tightype,Tightype,https://tightype.com,11
,not_found,,tipografies,Tipografies,https://tipografies.com,11
icon,ok,https://typesenses.com/assets/fba55389-da9f-4466-8c74-e0d3a2bb61fc_carw_1x1x32.png,typesenses,Typesenses,https://typesenses.com/,11
,not_found,,allcaps,AllCaps,https://www.allcapstype.com/,10
,not_found,,avondale-type-co,Avondale Type Co.,https://avondaletypeco.com,10
icon,ok,https://bold-decisions.biz/pages/5f099d503779dd4bf96835b9/favicon.svg,bold-decisions,Bold Decisions,https://bold-decisions.biz/,10
,not_found,,cotype,CoType,https://cotypefoundry.com/,10
,not_found,,fincker-font-cuisine,Fincker Font Cuisine,https://www.fontcuisine.com/,10
,not_found,,fond-de-riz,Fond de riz,https://fonderiz.fr/,10
icon,ok,https://forgotten-shapes.com/wp-content/themes/fosh5-theme/components/mh_favicons/production-links/favicon-32x32.png?1,forgotten-shapes,Forgotten Shapes,https://forgotten-shapes.com/,10
icon,ok,https://jfoundry.com/favicon.svg,j-foundry,J Foundry,https://jfoundry.com/,10
icon,ok,https://fonts.antoniolechuga.com/wp-content/uploads/2024/05/cropped-Asset-5-32x32.png,lechuga-type,Lechuga Type,https://fonts.antoniolechuga.com/,10
icon,ok,https://www.lettersoup.de/wp-content/themes/lettersoup/app/favicons/favicon-32x32.png,lettersoup,Lettersoup,https://www.lettersoup.de/,10
icon,ok,https://maxitype.com/wp-content/uploads/2021/12/cropped-android-chrome-512x512-2-32x32.png,maxitype,Maxitype,https://maxitype.com/,10
icon,ok,https://nguyengobber.com/assets/favicon/favicon-32x32.png,nguyen-gobber,Nguyen Gobber,https://nguyengobber.com/,10
icon,ok,https://ortype.is/assets/images/favicon.png?v=2,or-type,Or Type,https://ortype.is,10
,not_found,,typerotation,Typerotation,https://typerotation.com,10
,not_found,,muccatypo,muccaTypo,https://www.muccatypo.com/,10
icon,ok,https://aisforfonts.com/wp-content/uploads/2020/03/cropped-favicon-32x32.jpg,a-is-for,A is for,https://aisforfonts.com/,9
icon,ok,https://alt-tf.com/cdn/shop/files/Asset_25.png?crop=center&height=32&v=1694440058&width=32,alt-tf,ALT.tf,https://alt-tf.com/,9
fallback:/favicon.ico,ok,https://aesthetictype.com/favicon.ico,aesthetic-type,Aesthetic Type,https://aesthetictype.com/,9
,not_found,,calame-bureau,Calame.Bureau,https://www.arthurcalame.com/,9
shortcut icon,ok,https://camelot-typefaces.com/favicon.ico,camelot-typefaces,Camelot Typefaces,https://camelot-typefaces.com/,9
icon,ok,https://dunwichtype.com/wp-content/uploads/2020/06/cropped-KindredLogo_FaviconUC-32x32.png,dunwich-type-founders,Dunwich Type Founders,https://dunwichtype.com/,9
icon,ok,https://erkinkaramemet.com/wp-content/uploads/2023/10/cropped-EK_Favicon3-32x32.png,erkin-karamemet,Erkin Karamemet,https://erkinkaramemet.com/,9
icon,ok,https://janfromm.de/site/templates/icons/favicon-32.png,jan-fromm,Jan Fromm,https://janfromm.de/,9
icon,ok,https://metis-foundry.com/wp-content/uploads/2023/02/cropped-Metis_Logo_01_Tr-32x32.png,metis,Metis,https://metis-foundry.com,9
icon,ok,https://motaitalic.com/favicon-32x32.png,mota-italic,Mota Italic,http://www.motaitalic.com/,9
icon,ok,https://nicetotype.jp/icon.png,nice-to-type,Nice to type,https://nicetotype.jp,9
,not_found,,smuss-type-kiosk,Smuss Type Kiosk,https://typekiosk.smuss.studio/,9
icon,ok,https://store.tekio.work/cdn/shop/files/tekiofav.png?crop=center&height=32&v=1710324671&width=32,tekio,Tekio,https://store.tekio.work/,9
icon,ok,https://xotype.co/assets/xo-icon.png,xo-type-co,XO Type Co.,https://xotype.co/,9
fallback:/favicon.ico,ok,https://www.astype.de/favicon.ico,astype-fonts,Astype Fonts,https://astype.de/,8
icon,ok,https://ecal-typefaces.ch/favicon-32x32.png,ecal-typefaces,ECAL Typefaces,https://ecal-typefaces.ch/,8
icon,ok,https://www.generaltypestudio.com/tenant-favicon/favicon-32x32.png,general-type-studio,General Type Studio,https://www.generaltypestudio.com/,8
icon,ok,https://power-type.com/favicon/favicon-32x32.png,power-type,Power Type,https://power-type.com/,8
icon,ok,https://www.spoketype.com/wp-content/themes/spoke/assets/img/favicon.png,spoke,Spoke,https://www.spoketype.com/,8
shortcut icon,ok,https://type.tmpstate.net/static/static/assets/favicon.ico,temporary-state,Temporary State,https://type.tmpstate.net/,8
shortcut icon,ok,https://cdn.prod.website-files.com/66a589425e61c9071b018061/695e6e090e0e0cfe1e203005_32x32.png,type-supply,Type Supply,https://typesupply.com/,8
icon,ok,https://universalthirst.com/favicon-32x32.png,universal-thirst,Universal Thirst,https://universalthirst.com/,8
,not_found,,almarena,Almarena,https://almarenafoundry.com/,7
,not_found,,approximate-type,Approximate Type,https://approxtype.com/,7
icon,ok,https://www.britishstandardtype.xyz/favicon.ico,british-standard-type,British Standard Type,https://www.britishstandardtype.xyz/,7
icon,ok,https://fatype.com/assets/icons/favicon-e0b411442de8a32566bd30138452137bdc81bd413e3908e5c3cf6baf12d49515.png,fatype,Fatype,https://fatype.com,7
icon,ok,https://images.squarespace-cdn.com/content/v1/648482e7fb42f33c24837b87/34c9b715-0942-4377-88e5-4e85687ab5ba/favicon.ico?format=100w,francis-chouquet,Francis Chouquet,https://www.francischouquet.com/,7
shortcut icon,ok,https://freight.cargo.site/t/original/i/144e9de8dd9afeb1ad8d4f3c2ac02bede268a46571848ca4d5e18d8e4ae938d3/IG-Export-2024-38.ico,james-plattner,James Plattner,https://jamesplattner.com/,7
,not_found,,july-type,July Type,https://www.julytype.com/,7
