authors,date_basis,foundry_id,foundry_name,foundry_url,has_trial,is_variable,name,raw_created_at,raw_featured_at,raw_last_enriched,raw_typeface_id,release_date,release_date_candidates_count,release_date_confidence,release_date_confidence_score,release_date_initial,release_date_source_type,release_date_source_url,release_status,release_year,scripts,source_id,source_name,source_url,styles
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Blah!,2026-03-07T23:22:22.165141+00:00,,2026-03-07,stereo-typefaces--blah,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/blah/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/blah/,[]
"[""Sean Delloro""]",created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Beyond The Mountains,2026-03-07T23:15:12.495967+00:00,,2026-03-07,stereo-typefaces--beyond-the-mountains,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/beyond-the-mountains/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/beyond-the-mountains/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bernadette Unlimited License Mairdumont,2026-03-07T23:20:03.545198+00:00,,2026-03-07,stereo-typefaces--bernadette-unlimited-license-mairdumont,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bernadette-unlimited-license-mairdumont/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bernadette-unlimited-license-mairdumont/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bernadette Latin Pro,2026-03-07T23:18:32.913094+00:00,,2026-03-07,stereo-typefaces--bernadette-latin-pro-extended-license,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bernadette-latin-pro-extended-license/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bernadette-latin-pro-extended-license/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bernadette,2026-03-07T23:15:43.119898+00:00,,2026-03-07,stereo-typefaces--bernadette,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bernadette/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bernadette/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bergamote,2026-03-07T23:22:14.832974+00:00,,2026-03-07,stereo-typefaces--bergamote,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bergamote/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bergamote/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Base 05,2026-03-07T23:14:00.661414+00:00,,2026-03-07,stereo-typefaces--base-05,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/base-05/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/base-05/,[]
[],last_enriched,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Base 02,2026-03-07T23:14:08.65756+00:00,,2026-03-07,stereo-typefaces--base-02,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/base-02/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/base-02/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bakery,2026-03-07T23:14:50.291674+00:00,,2026-03-07,stereo-typefaces--bakery,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bakery/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bakery/,[]
"[""Andrey Popovich""]",created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Badass Moon,2026-03-07T23:20:40.335159+00:00,,2026-03-07,stereo-typefaces--badass-moon,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/badass-moon/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/badass-moon/,[]
