designer_id,foundry_id,role,source
lais-matias,papanapa,designer,designers.affiliations
agustin-pizarro-maire,sudtipos,designer,designers.affiliations
emily-lessard,hex-projects,designer,designers.affiliations
andre-baldinger,b-v-h-type,designer,designers.affiliations
benn-zorn,benn-zorn,designer,designers.affiliations
impallari-type,cyreal,designer,designers.affiliations
nhung-nguyen,cyreal,designer,designers.affiliations
veronica-oliveira,papanapa,designer,designers.affiliations
a-collective,velvetyne,designer,designers.affiliations
rafael-okuda,papanapa,designer,designers.affiliations
adel-faure,velvetyne,designer,designers.affiliations
adrian-frutiger,linotype,Type Designer,designers.affiliations
margot-l-v-que,claude-type,founder & type designer,designers.affiliations
akaki-razmadze,typotheque,designer,designers.affiliations
akaki-razmadze,tptq-arabic,designer,designers.affiliations
olga-karpushina,cyreal,designer,designers.affiliations
zeenesia-studio,zeenesia-studio,designer,designers.affiliations
alexander-kondratenko,velvetyne,designer,designers.affiliations
ama-diaka,aayalolo,designer,designers.affiliations
ange-degheest,velvetyne,designer,designers.affiliations
fabian,letterwerk,,designers.affiliations
andres-felipe-ramirez,sudtipos,designer,designers.affiliations
audrey-aujoulat,en-travaux,designer,designers.affiliations
ben-jones,dalton-maag,designer,designers.affiliations
bente-baseler,lazydogs-typefoundry,designer,designers.affiliations
brahim-boucheikha,babelfont,designer,designers.affiliations
brigida-guerreiro,kobu-foundry,designer,designers.affiliations
camille-depalle,velvetyne,designer,designers.affiliations
chisaokwu-joboson,udi-type-foundry,designer,designers.affiliations
vladimir-pavlikov,cyreal,designer,designers.affiliations
carolina-marando,sudtipos,designer,designers.affiliations
riley-cran,lost-type-co-op,Operator and Co-Founder,designers.affiliations
chloe-lozano,velvetyne,designer,designers.affiliations
aditya-wiraatmaja,tokotype,designer,designers.affiliations
alessio-d-ellena,superness,designer,designers.affiliations
arnaud-milliquet,abc-etc,designer,designers.affiliations
clara-sambot,velvetyne,designer,designers.affiliations
claude-garamond,lanston-type-company,designer,designers.affiliations
